Job Title,Job Salary,Job Experience Required,Key Skills,Role Category,Location,Functional Area,Industry,Role
AVP Operations,Not Disclosed by Recruiter,20-30,steel operations steel_plant,Senior_Management,NCR DELHI,Production Manufacturing Maintenance,Iron_and_Steel,Head/VP/GM-Operations
Associate Retail Sales Apparel,Not Disclosed by Recruiter,1-5,retail_sales sales cross_selling up_selling sales,Sales,MUMBAI,Sales Retail Business_Development,Retail Wholesale,Sales Executive/Officer
E Learning Project Manager,Not Disclosed by Recruiter,5-10,e-learning manager_quality_assurance web_technologies management advisory,Project_Management,GURGAON,IT_Software,BPO Call_Centre ITeS,Project Manager-IT/Software
Vice President Strategy Algorithm Iim mdi isb fms,Not Disclosed by Recruiter,5-10,corporate_strategy capital_markets r trading algorithmic_trading research spss c#_.net matlab analytics,N.A.,GURGAON NCR DELHI,Financial_Services Banking Investments Insurance,IT-Software Software_Services,Broker/Trader
Deputy Manager Accounts,"3,00,000-4,50,000",5-10,accounting account_management,Accounts,NOIDA,Accounts Finance Tax Company_Secretary Audit,Iron_and_Steel,Accounts Manager
Senior UI Engineer Javascript html css,Not Disclosed by Recruiter,5-10,angularjs css jquery javascript bootstrap html node.js http webservices backbone.js react.js,Programming_&_Design,NAVI MUMBAI,IT_Software,IT-Software Software_Services,Software Developer
Cloud Data Engineer,Not Disclosed by Recruiter,2-5,usage git business_transformation linux machine_learning agile cost aws sql python,N.A.,AHMEDABAD,IT_Software,Advertising PR MR Event_Management,System Administrator
SEO Team Leader,Not Disclosed by Recruiter,2-5,keyword_research link_building sem html,Programming_&_Design,MUMBAI,IT_Software,IT-Software Software_Services,Team Lead/Technical Lead
HR Manager,Not Disclosed by Recruiter,4-9,resourcing talent_acquisition employee_relations recruitment human_resource_management hr training employee_welfare performance_appraisal staffing,HR Recruitment IR,MUMBAI,HR Recruitment Administration IR,Accounting Finance,HR Manager
Application Lead SAP FICO Finance ,"12,00,000-14,00,000",6-7,design build configure testing,Programming_&_Design,KOLKATA,IT_Software,IT-Software Software_Services,Software Developer
Software Engineer freshers Only Good comm req Passout,"80,000-1,00,000",0-0,software_engineering freshers java html css .net c++ sql javascripts j_query bsc bca btech,Other,NOIDA CHENNAI BENGALURU,IT_Software,IT-Software Software_Services,Trainee
Executive Technical Support,Not Disclosed by Recruiter,2-3,smtp imap ftp linux networking ldap pop3 http windows operating_systems,Technical_Support,MUMBAI BENGALURU,IT_Hardware Technical_Support Telecom_Engineering,IT-Software Software_Services,Customer Support Engineer/Technician
IT Recruiter,Not Disclosed by Recruiter,2-6,mining networking staffing social_media mining_operations consulting interview_scheduling subject_matter_expert operations talent_acquisition,HR Recruitment IR,HYDERABAD,HR Recruitment Administration IR,IT-Software Software_Services,Recruitment Executive
Digital Marketing Manager,Not Disclosed by Recruiter,3-6,merchandising,Marketing,NCR DELHI,Marketing Advertising MR PR Media_Planning,Brewery Distillery,Marketing Manager
BPO Recruitment BPO Lateral Hiring Pune,Not Disclosed by Recruiter,3-7,lateral_hiring recruitment_executive bpo_recruitment hr_recruiter,N.A.,PUNE,Other,BPO Call_Centre ITeS,Other
Project Leader pune kornferry,Not Disclosed by Recruiter,15-22,recruitment rpo sourcing stakeholder_management,HR Recruitment IR,PUNE,HR Recruitment Administration IR,Recruitment Staffing,Recruitment Manager
Manager Social Media Marketing,Not Disclosed by Recruiter,1-2,marketing social_media online_marketing,Online Digital_Marketing,GURGAON,Marketing Advertising MR PR Media_Planning,Media Entertainment Internet,Social Media Marketing Manager
Manager Underwriting,Not Disclosed by Recruiter,3-8,underwriting data_entry report_generation mortgage_advisors analytical_skills credit_officers capital_advisors risk_management,N.A.,MUMBAI,Financial_Services Banking Investments Insurance,Recruitment Staffing,Underwriter
Pega PRPC Professionals Chennai Hyderabad PUNE,Not Disclosed by Recruiter,4-9,csa prpc appian clsa pega bpm,Programming_&_Design,CHENNAI PUNE HYDERABAD,IT_Software,IT-Software Software_Services,Team Lead/Technical Lead
Australian Process Telesales Salary K Ahmedabad,"1,25,000-3,75,000",1-4,international_bpo south_africa australia dubai new_zealand america online_sales inhouse_sales voice_process canada international_voice_process telesales sales_representative international_call_center telemarketing,Voice,AHMEDABAD,ITES BPO KPO LPO Customer_Service Operations,BPO Call_Centre ITeS,Telecalling/Telemarketing Executive
Inbound Tech Sales Executives for US process Fixed salary,Not Disclosed by Recruiter,2-7,outbound troubleshooting technical_support iphone english email us_process sales_executive business_executive international_bpo,Voice,KOLKATA,ITES BPO KPO LPO Customer_Service Operations,IT-Software Software_Services,Associate/Senior Associate -(NonTechnical)
Senior Team Lead IoT Engineer Linux C,Not Disclosed by Recruiter,6-10,product_management c test_planning voip architectural_design code_review life_cycle device_driver team_leading linux_kernel,Programming_&_Design,BENGALURU NCR DELHI,IT_Software,IT-Software Software_Services,Team Lead/Technical Lead
Manager data Catagory Management online Pharmacy,"5,00,000-10,00,000",3-8,life_sciences data_analysis data_management advanced_excel master_data,Drug_Regulatory_Affairs Documentation,NCR DELHI,Medical Healthcare R&D Pharmaceuticals Biotechnology,Pharma Biotech Clinical_Research,Regulatory Affairs Manager
React js,Not Disclosed by Recruiter,4-8,application_support debugging software_development_life_cycle javascript json outsourcing microsoft business_solutions operations,Programming_&_Design,MUMBAI,IT_Software,IT-Software Software_Services,Team Lead/Technical Lead
Software Developer Java AngularJS,Not Disclosed by Recruiter,2-6,angularjs java_software_developer sql php html struts agile scrum salesforce release_management,Programming_&_Design,MUMBAI CHENNAI HYDERABAD PUNE BENGALURU,IT_Software,IT-Software Software_Services,Software Developer
Android Developers,Not Disclosed by Recruiter,2-7,development tools mobile_phones java xml android http objective_c web_service experience,Programming_&_Design,AHMEDABAD,IT_Software,IT-Software Software_Services,Software Developer
Italian German Language Specialist,Not Disclosed by Recruiter,5-10,german_language,Voice,PUNE,ITES BPO KPO LPO Customer_Service Operations,Strategy Management_Consulting_Firms,Associate/Senior Associate -(NonTechnical)
Area Sales Manager Lighting,Not Disclosed by Recruiter,10-14,area_sales consumer_durables fmcg b2c_sales business_executive,Sales,RAIPUR AURANGABAD HYDERABAD PATNA,Sales Retail Business_Development,Consumer_Electronics Appliances Durables,Sales/Business Development Manager
Marketing Head Digital Marketing Gurgaon,Not Disclosed by Recruiter,8-10,digital_marketing seo google_analytics brand_markerting online_marketing sem social_media_marketing,Senior_Management,GURGAON,Marketing Advertising MR PR Media_Planning,IT-Software Software_Services,Head/VP/GM-Marketing
SAP FICO Consultant,Not Disclosed by Recruiter,8-12,bank_accounting accounts_receivable ar accounts_payable sap_fico asset_accounting gst gl_accounting general_ledger ap,Other,MUMBAI,IT_Software,IT-Software Software_Services,Outside Consultant
Aviation Trainer,Not Disclosed by Recruiter,3-8,training cabin_crew_activities typing c aviation education business_executive monitoring teaching,University_Level,MUMBAI,Teaching Education Training Counselling,Education Teaching Training,Lecturer/Professor
QUALITY ASSURANCE,Not Disclosed by Recruiter,2-7,quality_systems iso_9001 executive_quality_assurance manager_quality_assurance business_executive,Medical_Professional,NOIDA,Medical Healthcare R&D Pharmaceuticals Biotechnology,Industrial_Products Heavy_Machinery,Administration Services/Medical Facilities
opening for english hindi flipkart process,Not Disclosed by Recruiter,0-1,administration process technical_support min sap analytical vendor_management ms_office business_executive,Voice,BENGALURU,ITES BPO KPO LPO Customer_Service Operations,Recruitment Staffing,Associate/Senior Associate -(NonTechnical)
Manager Sr Manager Sourcing Tooling Raw Material ,Not Disclosed by Recruiter,10-12,procurement cnc vendor_development project_management cutting_tools raw_material lathe_machine purchase_manager,Purchase Material_Management,GURGAON,Purchase Logistics Supply_Chain,Automobile Auto_Anciliary Auto_Components,Purchase/Vendor Development Manager
Senior Tech Support Executive For Fixed Day Shift,Not Disclosed by Recruiter,1-3,outbound service technical_support target process inbound_calls bonus business_executive comp,Voice,KOLKATA,ITES BPO KPO LPO Customer_Service Operations,IT-Software Software_Services,Associate/Senior Associate -(Technical)
Store Incharge,Not Disclosed by Recruiter,10-15,packaging tally taxation team_management team_coordination analytical_skills mechanical stores_maintenance excel consultancy,Logistics,FARIDABAD,Purchase Logistics Supply_Chain,Recruitment Staffing,Store Keeper/Warehouse Assistant
Graduate Trainee,Not Disclosed by Recruiter,0-1,training english trainee management_trainee hr time grammar business_executive basic verbal,Other,HYDERABAD,Strategy Management_Consulting Corporate_Planning,Recruitment Staffing,Trainees
Marketing Executive for Delhi Bangalore,"1,50,000-3,00,000",3-5,seo digital_marketing sem google_analytics email_marketing marketing_campaigns sales lead_generation marketing_management copy_writing,Marketing,BENGALURU DELHI,Marketing Advertising MR PR Media_Planning,Consumer_Electronics Appliances Durables,Marketing Manager
HR Associate Professor,Not Disclosed by Recruiter,5-7,counselor mentor trainer advisor teaching,University_Level,CHENNAI,Teaching Education Training Counselling,Education Teaching Training,Assistant Professor
Walk in Assistant Acquisition Manager Current Account Delhi NCR,"2,00,000-2,75,000",1-6,retail_sales c current_account direct_sales casa credit_cards insurance sales b2b_sales sales_officer field_sales field_marketing personal_loans business_development_executive b2c_sales demat,Sales,GURGAON NOIDA DELHI,Sales Retail Business_Development,Banking Financial_Services Broking,Sales/Business Development Manager
Qs civil Interior Fit outs Hyderabad available Immediately Only,"3,00,000-8,00,000",3-8,cost_planning contractor_billing budgeting boq_preparation interiors interior_works,N.A.,HYDERABAD,Other,Construction Engineering Cement Metals,Other
Software Engineer systems,Not Disclosed by Recruiter,2-4,plsql oracle_database sql_development programming,Programming_&_Design,PUNE,IT_Software,IT-Software Software_Services,Software Developer
Php Developer,Not Disclosed by Recruiter,3-6,backend front_end php side pdf web_services application web web_application developer support,Programming_&_Design,NOIDA,IT_Software,IT-Software Software_Services,Software Developer
Manager Sales Marketing Offset Printing Packaging,"6,00,000-9,00,000",5-10,sales marketing sales_management institutional_sales offset_printing printing_&_packaging,Sales,BENGALURU,Sales Retail Business_Development,Printing Packaging,Sales/Business Development Manager
Assistant Manager Title Insurance Services,Not Disclosed by Recruiter,4-8,root_cause_analysis team_leading mortgage training procurement legal cost monitoring,Voice,BENGALURU,ITES BPO KPO LPO Customer_Service Operations,Real_Estate Property,Team Leader -(NonTechnical)
Opening for Accounts Receivable or General Ledger,"2,00,000-3,00,000",1-4,accounting accounts_receivable general_ledger record_to_report order_to_cash otc o2c rtr r2r,N.A.,PUNE,Accounts Finance Tax Company_Secretary Audit,Accounting Finance,Finance Executive
Branch Service Partner,Not Disclosed by Recruiter,2-7,audit_compliance customer_satisfaction process_documentation process_efficiency customer_service transaction_processing service_quality monitoring iso_9001-2000 six_sigma,N.A.,CHENNAI,Financial_Services Banking Investments Insurance,Banking Financial_Services Broking,Operations Officer
Sales Executive Officer,Not Disclosed by Recruiter,3-8,loans sales financial_products relationship_building financial_products_sales mutual_funds customer_service customer_experience management sales_achievement,Sales,MUMBAI,Sales Retail Business_Development,Banking Financial_Services Broking,Sales Executive/Officer
Customer Delight Executive,Not Disclosed by Recruiter,2-5,excel root_cause ms_office international_bpo,Voice,BENGALURU,ITES BPO KPO LPO Customer_Service Operations,Retail Wholesale,Associate/Senior Associate -(NonTechnical)
Manual Tester,Not Disclosed by Recruiter,1-3,manual_testing manual_functional_testing,Programming_&_Design,GURGAON,IT_Software,IT-Software Software_Services,Testing Engineer
Wordpress Developer,Not Disclosed by Recruiter,1-5,html javascript php bca css development software e-commerce database jquery web optimization mysql wordpress design_development object_oriented_programming,Programming_&_Design,KOLKATA,IT_Software,IT-Software Software_Services,Software Developer
Junior Accountant For New YORK Based Company at Vidyavihar mumbai,"3,00,000",2-7,gst accounting taxation account_assistant,Accounts,MUMBAI SUBURBS,Accounts Finance Tax Company_Secretary Audit,Food_Processing,Accounts Executive/Accountant
KEY ACCOUNT MANAGER ,Not Disclosed by Recruiter,7-12,telecom sales enterprise_sales b2b telecom_sales,Sales,DELHI,Sales Retail Business_Development,Telcom ISP,Client Servicing/Key Account Manager
Node js Developer Mysql mongodb,Not Disclosed by Recruiter,5-10,node.js mysql mongodb mean data_integration,Programming_&_Design,BENGALURU,IT_Software,IT-Software Software_Services,Software Developer
Sr Backend Engineer,"8,00,000-10,00,000",5-8,python django javascript node.js java mongodb nosql data_science postgresql ruby,Programming_&_Design,MUMBAI,IT_Software,IT-Software Software_Services,Software Developer
Export Documentation Globally,"2,50,000-3,25,000",2-5,export_documentation,Documentation Shipping,DELHI,Export Import Merchandising,Pharma Biotech Clinical_Research,Documentation/Shipping-Executive/Manager
INBOUND Tech process,Not Disclosed by Recruiter,0-5,technical_support antivirus inbound_calls process technical issue software,Voice,KOLKATA,ITES BPO KPO LPO Customer_Service Operations,IT-Software Software_Services,Associate/Senior Associate -(NonTechnical)
Associate Retail Sales Sports,Not Disclosed by Recruiter,1-6,retail_sales store_sales sales direct_sales,Sales,MUMBAI,Sales Retail Business_Development,Retail Wholesale,Sales Executive/Officer
Urgent Hiring Travel Sales Executives in International Bpo delhi NCR,"2,50,000-6,00,000",1-6,communication_skills travel_sales_consultant sales_executive_activities voice_process reservation_executive gds travel_sales international_bpo uk_process amadeus,Voice,GURGAON NOIDA NCR DELHI,ITES BPO KPO LPO Customer_Service Operations,BPO Call_Centre ITeS,Associate/Senior Associate -(NonTechnical)
Sales Executives,Not Disclosed by Recruiter,1-3,networking focus sales_executive,Sales,PUNE,Sales Retail Business_Development,Industrial_Products Heavy_Machinery,Sales Executive/Officer
Systems Support Specialist,Not Disclosed by Recruiter,2-7,support technical_support active_directory consulting information_technology monitoring financial_services it_operations hipaa powershell,N.A.,GURGAON,IT_Software,Strategy Management_Consulting_Firms,System Administrator
Walk in Interview for Sales Manager Bangalore,"3,50,000-5,00,000",4-8,sales_management life_insurance demat team_motivation mutual_funds banking team_handling broking selling financial_products sm sales_manager team_leader tl,Sales,BENGALURU,Sales Retail Business_Development,Banking Financial_Services Broking,Branch Manager
Sales executives Account managers,Not Disclosed by Recruiter,0-2,market_research customer_profiling sales_executive marketing_executive distributors business_development,Sales,PUNE,Sales Retail Business_Development,IT-Software Software_Services,Sales Executive/Officer
Senior Manager Manager Finance,Not Disclosed by Recruiter,10-15,administration credit_officers report_generation finance senior_manager analysts manager data_entry analytical_skills risk_management,N.A.,CHENNAI,Accounts Finance Tax Company_Secretary Audit,Recruitment Staffing,Finance/Budgeting Manager
Mega Walkin Interview For Banking Sales Products ghaziabad,"1,25,000-2,25,000",0-5,mortgages insurance microfinance business_loan auto_loans personal_loans corporate_sales field_sales credit_cards home_loans housing_finance direct_sales,Sales,GHAZIABAD,Sales Retail Business_Development,Banking Financial_Services Broking,Sales Executive/Officer
HR Payroll Executive,Not Disclosed by Recruiter,1-3,learning hr_generalist_activities payroll hr interviewing salary_processing recruitment,HR Recruitment IR,BENGALURU,HR Recruitment Administration IR,IT-Hardware_&_Networking,HR Executive
Software Developer Node js angular,Not Disclosed by Recruiter,2-5,node.js angularjs mysql bootstrap mongodb javascript react.js,Programming_&_Design,MUMBAI,IT_Software,IT-Software Software_Services,Software Developer
Territory Manager,Not Disclosed by Recruiter,1-3,territory_manager,Other,MUMBAI CHENNAI DELHI NCR KOLKATA BENGALURU,Sales Retail Business_Development,IT-Software Software_Services,Fresher
Application Developer Team Lead Location Chandigarh,Not Disclosed by Recruiter,2-7,team_leader information_technology application,Programming_&_Design,CHANDIGARH,IT_Software,IT-Software Software_Services,Team Lead/Technical Lead
Executive Invoicing and Receivables,Not Disclosed by Recruiter,1-5,spare_parts contract_management gas_turbine mis_reporting sales_executive solution_sales hr_solutions mis_preparation senior_executive business_executive,Accounts,HYDERABAD,Accounts Finance Tax Company_Secretary Audit,Strategy Management_Consulting_Firms,Accounts Executive/Accountant
Dermatologist,Not Disclosed by Recruiter,2-5,training cosmetology dermatology,Medical_Professional,HYDERABAD,Medical Healthcare R&D Pharmaceuticals Biotechnology,Medical Healthcare Hospitals,Dermatologist
Cyber Security Lead Engineer,Not Disclosed by Recruiter,3-7,information_security iso_27001 operations computer_science cism remediation cisa anti_money_laundering machine_learning fico,Programming_&_Design,BENGALURU,IT_Software,BPO Call_Centre ITeS,Team Lead/Technical Lead
Senior Executive assistant Manager,"3,50,000-4,50,000",4-5,labour_laws statutory_compliances payroll payroll_processing,N.A.,PUNE,Legal Regulatory Intellectual_Property,Recruitment Staffing,Legal Manager
Senior Java Developer,Not Disclosed by Recruiter,4-7,rest maven hibernate javascript core_java apache_tomcat jquery database_development spring spring_boot react.js java jsp_servlets j2ee sql_developer angularjs java_web_services jira,Programming_&_Design,NOIDA,IT_Software,IT-Software Software_Services,Software Developer
International Outbound Voice Process UK Shift,Not Disclosed by Recruiter,0-3,data_analysis customer_service help_desk information telephony_support customer_relationship access_controls caller tech_support technical_support bpo inbound outbound calling voice non_voice customer_service cce uk us voice_process,Voice,KOLKATA,ITES BPO KPO LPO Customer_Service Operations,IT-Software Software_Services,Associate/Senior Associate -(NonTechnical)
SAP MM Functional Consultant,"7,00,000-17,00,000",5-10,sap_mm sap_mm_consultant sap_mm_functional_consultant senior_sap_mm_consultant,N.A.,BENGALURU,N.A.,IT-Software Software_Services,Other
Senior Developers Java,Not Disclosed by Recruiter,3-6,com c oracle software jsp testing weblogic it eclipse spring coding java application ui db2 web struts design pl applications,Programming_&_Design,HYDERABAD,IT_Software,IT-Software Software_Services,Software Developer
Hiring For Webmaster Hexaware Technologies,Not Disclosed by Recruiter,4-8,webmaster drupal wordpress html5 web_technologies bootstrap php html web_designing css3,Creative,MUMBAI CHENNAI,Design Creative User_Experience,IT-Software Software_Services,Web Designer
Facility Manager,"3,50,000-5,00,000",2-7,housekeeping pest_control pantry building_maintenance security mail_room facility_management cafeteria_management,N.A.,HYDERABAD,Other,Education Teaching Training,Other
Science Teacher,Not Disclosed by Recruiter,2-5,science_teacher,Teachers,PUNE,Teaching Education Training Counselling,Education Teaching Training,Special Education Teacher
Telemarketing Executive,Not Disclosed by Recruiter,2-5,night_shift embedded_software calling english handling telemarketing,Voice,BENGALURU,ITES BPO KPO LPO Customer_Service Operations,IT-Software Software_Services,Telecalling/Telemarketing Executive
SAP FICO Consultant,Not Disclosed by Recruiter,3-8,sap_fico,N.A.,CHENNAI HYDERABAD TRIVANDRUM PUNE BENGALURU,Other,IT-Software Software_Services,Other
Recruiter scheduler Profile For A Leading BPO,"50,000-2,00,000",0-1,hr_coordination,HR Recruitment IR,BENGALURU,HR Recruitment Administration IR,BPO Call_Centre ITeS,Recruitment Executive
SFDC Developer,Not Disclosed by Recruiter,4-6,informatica salesforce_crm strong cloud apex sfdc application,Programming_&_Design,HYDERABAD,IT_Software,IT-Software Software_Services,Software Developer
Backend Developer,Not Disclosed by Recruiter,3-5,node.js dom json api ajax mongodb javascript jquery,Programming_&_Design,NOIDA,IT_Software,IT-Software Software_Services,Software Developer
Technical Lead NET ,Not Disclosed by Recruiter,6-8,ms_sql jquery javascript json wcf mvc wpf monitoring ajax css3,Programming_&_Design,HYDERABAD,IT_Software,IT-Software Software_Services,Team Lead/Technical Lead
WordPress Developer Senior,Not Disclosed by Recruiter,3-8,unix javascript php wordpress wamp basic git debugging business_executive,Programming_&_Design,AHMEDABAD,IT_Software,BPO Call_Centre ITeS,Software Developer
Lecturer,Not Disclosed by Recruiter,4-8,physiotherapy assistant_professor counselling sports administration induction marking teaching research staff_training,University_Level,GURGAON DELHI,Teaching Education Training Counselling,Recruitment Staffing,Lecturer/Professor
Head of Cloud Operations,Not Disclosed by Recruiter,10-20,paas azure it_infrastructure_management networking change_control data_center_management,Senior_Management,GURGAON,IT_Software,IT-Software Software_Services,Practice Head / Practice Manager
Immediate Requirement for Statistical Programmer at Bglr hyd ahm mum,"6,00,000-16,00,000",6-11,sdtm adam cdisc statistical_programming sas_programmer ecrf clinical_sas_programmer,Programming_&_Design,MUMBAI BENGALURU HYDERABAD,IT_Software,Pharma Biotech Clinical_Research,Software Developer
Ms Sql Developer MSBI Developer MSBI Consultant,Not Disclosed by Recruiter,1-3,ms_sql stored_procedures ssrs sql_development database_design msbi ssis etl business_analysis,Programming_&_Design,LUCKNOW NCR DELHI,IT_Software,Banking Financial_Services Broking,Software Developer
Product Manager Iit nit bits iim isb xlri,Not Disclosed by Recruiter,4-8,techno_functional product_manager research web_applications html javascript,Programming_&_Design,NOIDA BENGALURU,IT_Software,IT-Software Software_Services,Product Manager
UI Developer,Not Disclosed by Recruiter,2-5,javascript html jquery project_management photoshop debugging corel_draw illustrator jira tool_design,Programming_&_Design,DELHI,IT_Software,IT-Software Software_Services,Software Developer
Senior Accounts and Tax Executive,"7,00,000-10,00,000",2-7,tax_audit accounting gl finance audit_compliance taxation ms_office financial_management auditing transfer_pricing,N.A.,PUNE,Accounts Finance Tax Company_Secretary Audit,Industrial_Products Heavy_Machinery,Finance Executive
core java and JavaScript,Not Disclosed by Recruiter,2-6,core_java javascript programming,Programming_&_Design,PUNE BENGALURU,IT_Software,IT-Software Software_Services,Software Developer
Immediate Opening for Peoplesoft HRMS,Not Disclosed by Recruiter,3-8,techno_functional,Programming_&_Design,BENGALURU,IT_Software,IT-Software Software_Services,Software Developer
Import Export Documentation Executive,Not Disclosed by Recruiter,2-8,export_documentation,Documentation Shipping,MUMBAI,Export Import Merchandising,Recruitment Staffing,Documentation/Shipping-Executive/Manager
Backend Java Developer for US Product Co immediate Joiners max month ,"8,00,000-18,00,000",3-6,java j2ee javascript sql spring hibernate struts rest api web_services core_java multithreading apache junit mysql orm unit_testing nosql couchbase docker,Programming_&_Design,BENGALURU,IT_Software,IT-Software Software_Services,Software Developer
Software Dev Engineer II,Not Disclosed by Recruiter,6-10,engineer_ii soa troubleshooting sdlc open_source workflow coding debugging product_management customer_support,Programming_&_Design,GURGAON,IT_Software,Media Entertainment Internet,Software Developer
Quality Control Lead,Not Disclosed by Recruiter,4-6,manual_testing test_data web_technologies testing_tools project_management agile test_planning manager_quality_control test_cases,Programming_&_Design,MUMBAI,IT_Software,Media Entertainment Internet,Testing Engineer
Area Credit Manager ACM,Not Disclosed by Recruiter,3-8,customer analysis financial team services cam preparation,Retail Personal_Banking,AHMEDABAD,Financial_Services Banking Investments Insurance,Strategy Management_Consulting_Firms,Credit Manager-Corporate Banking
Computer operator having sap knowledge,Not Disclosed by Recruiter,2-6,sap computer_operator,Voice,CHANDIGARH,ITES BPO KPO LPO Customer_Service Operations,Recruitment Staffing,Telecalling/Telemarketing Executive
Dayshift Medical Coding Jobs B Pharm M Pharm Pharmacist Freshers,"2,50,000-5,00,000",0-3,biotechnology microbiology nutrition optometry biochemistry life_sciences nursing pharmacy biomedical,Medical_Professional,ERODE CHENNAI MADURAI,Medical Healthcare R&D Pharmaceuticals Biotechnology,Medical Healthcare Hospitals,Medical Officer
Immediate Joiner For JAVA Developer,Not Disclosed by Recruiter,3-5,jsp spring_boot javascript core_java struts jsf swing html junit xml,Programming_&_Design,BENGALURU,IT_Software,IT-Software Software_Services,Software Developer
Java Developer Years Jasola South Delhi,"7,50,000-9,00,000",4-8,java tomcat jboss web_technologies mysql oracle web_services,Programming_&_Design,NCR DELHI,IT_Software,IT-Software Software_Services,Software Developer
Associate manager avp Credit Manager,Not Disclosed by Recruiter,1-3,finance marketing financial_modelling banking business_development credit_management credit_analysis cross_selling engagement_management client_management,Retail Personal_Banking,BENGALURU,Financial_Services Banking Investments Insurance,Banking Financial_Services Broking,Credit Manager-Corporate Banking
Institutional Sales,Not Disclosed by Recruiter,3-8,institutional_sales,Sales,AHMEDABAD MUMBAI,Sales Retail Business_Development,Recruitment Staffing,Institutional Sales/Business Development Manager
Android Developer,Not Disclosed by Recruiter,2-7,web_technologies ui xml android_studio json business_executive sql,Programming_&_Design,HYDERABAD,IT_Software,Retail Wholesale,Software Developer
Package Specialist SAP SCM PLM,Not Disclosed by Recruiter,6-11,digital_marketing enterprise_content_management business_strategy product_life_cycle_management hp_service_manager technology_consulting career_development sap_plm sap_scm technical_management,Programming_&_Design,BENGALURU,IT_Software,IT-Software Software_Services,Functional Outside Consultant
RM DIRECT SALES,Not Disclosed by Recruiter,1-4,direct_sales business_planning investment,Sales,MUMBAI,Sales Retail Business_Development,Banking Financial_Services Broking,Sales Executive/Officer
Urgent Opening For Software Sales Manager in Sector Gurgaon ,"5,00,000-13,00,000",5-10,information_technology business_development sales sales_management client_relationship_management erp_sales international_business_development software_sales client_relation client_service market_mapping,Sales,GURGAON,Sales Retail Business_Development,IT-Software Software_Services,Sales/Business Development Manager
Senior Software Engineer iOS ,Not Disclosed by Recruiter,5-10,sdlc performance_tuning consulting sdk computer_science client_management backend software_development_life_cycle mobile_application_development ios,Programming_&_Design,MUMBAI,IT_Software,Telcom ISP,Software Developer
Big Data Developer,Not Disclosed by Recruiter,4-7,hive sqoop hadoop big_data,Programming_&_Design,CHENNAI BENGALURU,IT_Software,IT-Software Software_Services,Software Developer
CCE Sr CCE reqd for Inbound Tech Process BPO,Not Disclosed by Recruiter,1-5,bpo technical_support outbound service comp technical process inbound_calls target bonus,Voice,KOLKATA,ITES BPO KPO LPO Customer_Service Operations,IT-Software Software_Services,Associate/Senior Associate -(NonTechnical)
Assistan Manager FDD,Not Disclosed by Recruiter,3-6,financial_analysis finance financial_due_diligence big4 team_development statutory_audit,N.A.,MUMBAI,Accounts Finance Tax Company_Secretary Audit,Strategy Management_Consulting_Firms,Audit Manager
Director Financial Architect,Not Disclosed by Recruiter,16-20,executive_leadership,Senior_Management,CHENNAI PUNE,IT_Software,IT-Software Software_Services,Practice Head / Practice Manager
Compositor,Not Disclosed by Recruiter,2-5,photography visual_effects television lighting animation vfx,Production Technical,MUMBAI,TV Films Production Broadcasting,IT-Software Software_Services,Animation/Graphic Artist
Application Developer,Not Disclosed by Recruiter,2-4,process_automation ms_sql software_design ms_access analytical wordpress html application_development macros recruitment,Programming_&_Design,BENGALURU,IT_Software,Recruitment Staffing,Software Developer
Receptionist for International School,Not Disclosed by Recruiter,2-5,receptionist_activities reception receptionist front_office front_desk_executive front_office_executive front_office_assistant,N.A.,MUMBAI,Executive_Assistant Front_Office Data_Entry,Education Teaching Training,Receptionist
Sales and Marketing Executives,Not Disclosed by Recruiter,2-5,customer_profiling market_research sales_executive marketing_executive distributors sales_strategy business_development,Sales,BENGALURU,Sales Retail Business_Development,Recruitment Staffing,Sales Executive/Officer
Business Development Associate,Not Disclosed by Recruiter,2-7,business_operations order_processing business_development_associate individual_contributor inventory_management sales relationship e-commerce sales_associate,Sales,AHMEDABAD,Sales Retail Business_Development,IT-Software Software_Services,Retail Store Manager
Automation Test Engineer,"4,00,000-9,00,000",5-8,github selenium automation_testing jenkins qa_automation jira,Programming_&_Design,CHENNAI,IT_Software,IT-Software Software_Services,Testing Engineer
Sales Manager,Not Disclosed by Recruiter,1-2,relationship_management business_enhancement client_relationship financial_sales management,Sales,PALGHAR PALAKKAD PUNE AMRAVATI,Sales Retail Business_Development,Recruitment Staffing,Sales/Business Development Manager
ERP Database Engineer green Park South Delhi ,Not Disclosed by Recruiter,2-6,technical_support data_modeling product_life_cycle presentation_skills analytical_skills sql_server problem_resolution sql_developer sql_database,Programming_&_Design,NCR DELHI,IT_Software,IT-Software Software_Services,Software Developer
Hiring For Lead Java Developer Yrs BFSI Product Company ,Not Disclosed by Recruiter,7-11,spring advanced_java appium jsp ms_sql_server product_development oracle_sql bootstrap hibernate core_java servlets,Programming_&_Design,BENGALURU,IT_Software,IT-Software Software_Services,Team Lead/Technical Lead
Property Sales relationship Manager ,"2,50,000-5,00,000",2-7,marketing primary_sales field_work sales direct_sales,Sales,PUNE,Sales Retail Business_Development,Real_Estate Property,Sales/Business Development Manager
Medical Coding Jobs for BPT Graduates Freshers,Not Disclosed by Recruiter,0-1,bds biotechnology nursing pharmacy bpt medical_coding bioinformatics biomedical,Medical_Professional,CUDDALORE CHENNAI VELLORE,Medical Healthcare R&D Pharmaceuticals Biotechnology,Medical Healthcare Hospitals,Medical Officer
